goal,foul,corner,offside,yellow_card,red_card,penalty,fastbreak,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10,attempt_11,attempt_12,attempt_13,attempt_14,attempt_15,attempt_16,attempt_17,attempt_18,attempt_19,country
0,33,4,5,3,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,2,0,15,0,1,0,0,germany
2,35,12,13,6,0,0,0,0,0,6,0,0,0,1,0,2,0,3,0,1,0,11,0,0,1,0,spain
2,24,8,5,6,1,1,0,0,0,10,0,0,0,0,0,2,0,1,1,0,1,8,0,0,0,0,0
3,22,5,5,5,0,0,0,0,0,5,0,0,0,0,0,2,0,3,0,1,0,5,0,0,0,0,germany
3,25,8,7,5,0,0,0,0,0,11,0,0,0,2,1,1,1,3,1,2,0,11,0,1,0,0,france
8,20,12,8,6,0,2,0,0,0,11,0,0,1,1,0,2,1,0,0,3,2,13,0,0,0,0,spain
1,28,13,5,2,0,1,0,0,0,7,0,0,0,0,1,4,0,1,0,0,1,12,1,1,0,0,0
5,33,9,2,2,0,0,0,0,0,12,0,0,0,1,0,1,0,2,0,0,0,8,0,0,0,1,0
1,29,9,8,3,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,11,0,0,0,0,0
6,32,8,6,2,0,0,0,0,0,13,0,0,0,0,0,3,1,2,0,1,0,8,1,1,0,0,0
1,26,12,5,7,2,1,0,0,0,8,0,0,0,0,0,2,0,1,0,0,1,14,0,0,0,0,spain
2,34,12,6,5,0,0,0,0,0,8,0,0,1,0,0,3,0,1,1,0,0,14,0,0,0,0,0
0,28,9,3,6,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,17,1,0,0,0,italy
0,29,8,5,6,0,0,0,0,0,4,0,0,0,0,0,2,1,3,1,1,0,9,2,1,0,0,spain
3,39,11,9,10,0,0,0,0,0,7,0,0,0,0,1,4,0,2,0,1,0,15,1,0,0,0,0
2,27,10,3,3,0,0,0,0,0,5,0,0,1,1,0,3,0,1,0,0,0,13,0,1,0,0,germany
2,26,14,7,4,0,0,0,0,0,9,0,0,1,0,0,5,0,2,1,1,0,4,1,0,0,0,france
3,30,3,3,5,0,0,0,0,0,1,0,0,0,1,0,3,0,2,1,0,0,9,0,0,0,0,italy
0,27,12,6,3,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,1,0,21,1,0,0,0,italy
3,39,7,3,5,0,0,0,0,0,6,0,0,0,0,0,1,0,3,1,0,0,13,0,0,0,0,italy
5,22,12,8,1,0,0,0,0,0,13,0,0,0,0,0,0,1,1,1,1,0,9,1,0,0,0,france
0,28,10,6,2,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,9,0,1,0,0,spain
3,24,13,3,2,1,1,0,0,0,10,0,0,0,0,1,0,0,2,0,0,1,13,2,0,0,0,italy
4,19,14,2,5,2,2,0,0,0,3,0,0,0,1,0,5,1,1,0,0,2,16,2,0,0,0,spain
1,28,12,3,5,0,0,0,0,0,8,0,0,0,0,0,2,0,3,0,3,0,17,0,0,0,0,italy
2,30,11,1,5,0,0,0,0,0,5,0,0,0,0,0,4,1,1,0,0,0,12,0,0,0,0,france
3,17,7,9,2,0,0,0,0,0,13,0,0,0,1,0,5,0,0,1,0,0,11,0,0,0,0,spain
1,29,6,6,8,0,0,0,0,0,5,0,0,0,0,1,1,0,2,0,0,0,12,0,0,0,0,0
2,28,13,6,3,0,0,0,0,0,12,0,0,0,0,1,2,0,3,0,1,0,14,0,0,0,0,germany
4,23,6,3,4,0,1,0,0,0,12,0,0,0,0,0,4,0,4,0,0,1,6,0,0,0,0,0
5,29,6,5,10,0,0,0,0,0,6,0,0,0,0,1,3,1,1,0,4,0,8,0,1,0,0,spain
3,29,8,9,4,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,7,0,1,0,0,germany
6,29,6,6,2,0,0,0,0,0,5,0,0,0,1,2,6,0,2,0,2,0,7,1,0,0,0,germany
1,39,12,9,4,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,0,0,17,0,0,1,0,0
2,24,7,6,5,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,1,0,7,0,0,0,0,spain
2,25,8,4,5,0,0,0,0,0,7,0,0,1,0,0,2,0,2,2,1,0,9,0,0,0,0,france
2,23,18,6,0,0,0,0,0,0,7,0,0,0,0,0,5,0,3,2,1,0,10,0,0,0,0,0
4,22,8,7,6,1,2,0,0,0,9,0,0,0,0,0,2,0,3,0,0,2,7,0,1,0,0,spain
2,32,18,4,3,1,0,0,0,0,10,0,0,0,0,0,3,1,2,0,2,0,6,0,0,0,1,france
4,35,10,7,3,0,0,0,0,0,9,0,0,0,0,0,3,0,3,1,3,0,8,0,0,0,0,germany
4,19,15,2,4,0,0,0,0,0,11,0,0,2,0,0,1,1,5,1,0,0,13,0,0,0,0,0
1,15,14,3,2,0,0,0,0,0,11,0,0,0,0,0,2,1,4,0,1,0,15,2,0,0,0,spain
2,24,12,4,7,0,0,0,0,0,6,0,0,0,0,0,2,0,4,0,0,0,19,2,0,1,0,france
4,21,17,3,6,0,1,0,0,0,8,0,0,0,4,0,3,0,7,0,1,1,16,0,0,1,0,spain
